0xbf9488c8, -1080784696
0xbfd2f8b8, -1076692808
0xbfc986c8, -1077311800
0xbff2a858, -1074616232
0xbfbb7128, -1078234840
0xbfc9ac88, -1077302136
0xbffcfb18, -1073939688
0xbfac2d48, -1079235256
0xbfc64598, -1077525096
0xbfcacc98, -1077228392
0xbfe2f518, -1075645160
0xbfb15f48, -1078894776
0xbf8f7c68, -1081115544
0xbf808638, -1082096072
0xbfef0748, -1074854072
0xbfbf8c38, -1077965768
0xbfe9a7d8, -1075206184
0xbfa317e8, -1079830552
0xbfc413e8, -1077668888
0xbffb1558, -1074064040
0xbf9fc6a8, -1080047960
0xbfc4e968, -1077614232
0xbfcbea38, -1077155272
0xbfe866c8, -1075288376
0xbff5f178, -1074400904
0xbfe407c8, -1075574840
0xbfaec6b8, -1079064904
0xbff6b308, -1074351352
0xbf941318, -1080814824
0xbfea2c98, -1075172200
0xbf812808, -1082054648
0xbfb1a8d8, -1078875944
0xbf8e5ce8, -1081189144
0xbff44718, -1074510056
0xbffc6188, -1073979000
0xbf9623c8, -1080679480
0xbfd22548, -1076746936
0xbfbbe708, -1078204664
0xbf8d8a78, -1081243016
0xbfa485d8, -1079736872
0xbf816418, -1082039272
0xbffa16e8, -1074129176
0xbfd25028, -1076735960
0xbf80c498, -1082080104
0xbffbccb8, -1074017096
0xbf91f8a8, -1080952664
0xbfa5ccb8, -1079653192
0xbf8b1e68, -1081401752
0xbf822e48, -1081987512
0xbfaf7978, -1079019144
0xbfee1b18, -1074914536
0xbfe57a38, -1075480008
0xbfc74e78, -1077457288
0xbfd0f388, -1076825208
0xbffeea48, -1073812920
0xbfecaba8, -1075008600
0xbfbf21f8, -1077992968
0xbf8d2c98, -1081267048
0xbfdc52d8, -1076079912
0xbfa4b038, -1079726024
0xbf950528, -1080752856
0xbffc6e18, -1073975784
0xbf9373b8, -1080855624
0xbfeed028, -1074868184
0xbf9697b8, -1080649800
0xbf997c28, -1080460248
0xbfdadde8, -1076175384
0xbfa482d8, -1079737640
0xbf8d5148, -1081257656
0xbf9de448, -1080171448
0xbfb95d28, -1078371032
0xbfdf2bf8, -1075893256
0xbf84f438, -1081805768
0xbfb561d8, -1078631976
0xbfb40a18, -1078719976
0xbfb13198, -1078906472
0xbfa7d108, -1079521016
0xbfa9d7f8, -1079388168
0xbfd034c8, -1076874040
0xbfd47248, -1076596152
0xbfa04eb8, -1080013128
0xbfaf5758, -1079027880
0xbf955948, -1080731320
0xbf880d78, -1081602696
0xbfd31738, -1076685000
0xbfa05508, -1080011512
0xbfb89cc8, -1078420280
0xbfd7c458, -1076378536
0xbfa155c8, -1079945784
0xbfeffbb8, -1074791496
0xbff9f948, -1074136760
0xbfaaa7f8, -1079334920
0xbf9899b8, -1080518216
0xbfed42d8, -1074969896
0xbfdcaec8, -1076056376
0xbf9e9e38, -1080123848
0xbfab8bc8, -1079276600
0xbf8d7aa8, -1081247064
0xbf84fe78, -1081803144
0xbfb5d3d8, -1078602792
